SL,Heat,Virus,Random
5128,49.5190076,0,0.023378744
9317,49.58343337,1,0.023399534
2733,49.53661465,1,0.023415621
8886,49.6242497,1,0.023418735
9378,49.71148459,1,0.02346424
4852,49.04161665,2,0.023485313
445,49.49859944,2,0.023485667
3032,49.2505002,1,0.023514306
8481,49.60904362,2,0.023553569
8977,49.70508203,2,0.023559752
4472,49.55142057,0,0.023567851
4764,49.60544218,1,0.023604899
9307,49.40256102,0,0.023606511
3768,49.6422569,2,0.023671678
3064,49.03561425,0,0.023704726
8224,49.39935974,2,0.023753322
2903,49.44417767,0,0.023763354
4210,49.53861545,2,0.02385794
1978,49.42376951,0,0.023894734
6981,49.40776311,0,0.02394589
8329,49.55102041,2,0.024168166
483,49.57342937,1,0.024230853
5935,49.45818327,1,0.024343748
6697,49.23409364,0,0.02441086
5777,49.27330932,2,0.024419286
7187,49.57062825,1,0.024420408
5871,49.27811124,0,0.024446906
2566,49.67146859,2,0.02446473
4210,49.46538615,1,0.024466631
1955,49.55222089,1,0.024483214
9688,49.4809924,1,0.024499091
5558,49.6142457,0,0.024531093
1045,49.51220488,0,0.024547719
9089,49.89955982,1,0.024580163
1491,49.57422969,1,0.024584971
6149,49.50060024,1,0.02463066
3198,49.4769908,0,0.024649415
5775,49.49739896,2,0.024672786
7178,49.52220888,2,0.024691167
2936,49.54621849,2,0.024708918
5485,49.69827931,1,0.024766327
1426,49.6202481,1,0.024786893
9494,49.53221289,1,0.024831784
8614,49.55182073,1,0.024835611
8854,49.47979192,0,0.024876741
540,49.69747899,2,0.02488953
7578,49.44657863,1,0.024956699
4534,49.6102441,2,0.024981005
4884,49.79271709,1,0.025047426
7575,49.6502601,1,0.025052738
3803,49.57062825,0,0.025084576
7399,49.46498599,1,0.025149869
729,49.74629852,1,0.025186151
9271,49.45818327,2,0.025330466
3992,49.5070028,0,0.025429484
9053,49.52260904,1,0.025442961
3772,49.58503401,0,0.025446011
3238,49.47539016,2,0.025518559
966,49.54741897,2,0.025519071
9142,49.19327731,2,0.025524752
5881,49.67987195,0,0.025585625
7091,49.46178471,0,0.025630338
5381,49.37254902,0,0.025637961
9468,49.41576631,0,0.025661825
8379,49.6082433,0,0.025685991
2906,49.47258904,0,0.025755178
2561,49.49379752,2,0.025788561
8565,49.53141257,2,0.025842058
484,49.39855942,2,0.025861158
9313,50.04681873,2,0.025867833
5660,49.69307723,0,0.025869541
5646,49.6462585,0,0.025914163
206,49.41976791,0,0.025940721
3005,49.55062025,1,0.025953958
9368,49.59943978,2,0.025957128
8878,49.36334534,0,0.025966657
2002,49.56982793,1,0.025978222
6030,49.51860744,1,0.026075867
8279,49.49819928,1,0.026110653
952,49.5210084,0,0.02614955
9081,49.50780312,0,0.026164075
5215,49.55822329,2,0.026184326
9005,49.50940376,1,0.026195326
7614,49.54381753,1,0.026199729
1045,49.21648659,1,0.026208158
3928,49.48619448,0,0.026277822
2772,49.56742697,0,0.026317246
7308,48.70308123,2,0.026357553
2225,49.47138856,0,0.02637421
9396,49.21768707,2,0.026390214
2185,49.76590636,2,0.026409126
9631,49.39535814,0,0.026570397
1056,49.58183273,1,0.026611068
399,49.2404962,0,0.026611849
4743,49.48179272,0,0.02664592
7192,49.54021609,0,0.026654596
9360,49.46978792,0,0.026674488
4963,49.53741497,2,0.026798587
8363,49.6082433,2,0.026806441
2154,49.6022409,0,0.026808908
8539,49.70108043,1,0.026878709
1479,49.70668267,2,0.026917167
5753,49.13085234,1,0.026918797
7699,49.29811925,0,0.026952089
3663,49.54941977,0,0.026976137
4936,49.68227291,0,0.026981226
7908,49.48659464,2,0.026988654
6576,49.76230492,0,0.026993137
3444,49.66026411,1,0.026995108
2991,49.737495,2,0.027012178
9057,49.63145258,0,0.0270167
3537,49.42296919,1,0.027032159
5713,49.36294518,1,0.02705872
4967,49.56902761,2,0.027085701
2140,49.58903561,1,0.027115966
731,49.25130052,2,0.027168039
1837,49.69827931,1,0.02720178
3688,49.49579832,2,0.027201859
6695,49.4709884,0,0.027212799
55,49.28851541,0,0.027273245
2976,49.74629852,2,0.027280909
1317,49.45298119,0,0.027300317
1087,49.4037615,2,0.027313481
8495,49.64345738,1,0.027359509
3297,49.55622249,1,0.027378425
1915,49.80592237,1,0.027383419
2901,49.72308924,2,0.027399004
7574,49.5190076,2,0.027435656
2112,49.32452981,1,0.027441739
6167,49.5070028,1,0.027451815
2690,49.23569428,1,0.027476608
1487,49.5030012,2,0.027484016
2120,49.52260904,1,0.027581548
4680,49.73589436,0,0.027633668
6160,49.67186875,1,0.027639804
4168,49.50580232,0,0.027657153
7140,49.33253301,0,0.027693641
924,49.40656263,1,0.027696691
